,text,neg,neu,pos,compound,comp_score
69,Babinsa Koramil 04 Rupat is led by Serka Julia Nursanto and 3 MPA members like a patrol to prevent forest and land fires from burning in the village of Suakarjo Mesim Kec Rupat Bengkal Regency Thursday 14 7 2022 https t co tf7cxsdnyg,0.0,0.911,0.089,0.3818,pos
70,scorching heat wave triggers forest fires in Europe https t co dakhznm6cs,0.0,1.0,0.0,0.0,neu
71,Burning forest due to heat wave lands Portugal https t co 4r0of78mhj,0.0,1.0,0.0,0.0,neu
72,one task of burning forest and land in Jambi asks all plantation businesses in the area to take an active role in preventing forest and land fires from burning https t co tlvdoy5xv9,0.033,0.888,0.08,0.3818,pos
73,"dinorauw shkn, is there a letter for the national fuel forest",0.0,1.0,0.0,0.0,neu
74,heatwave triggers forest fires in europe https t co yaxj5xyoph,0.0,1.0,0.0,0.0,neu
75,West Kalimantan BPBD continues its efforts so that at the title of ministerial meeting from neighboring countries at Bimp-Eaga in November 2022 there will be no forest fires in West Kalimantan publisherstory https t co kwge1scmjo,0.061,0.939,0.0,-0.296,neg
76,"Compared to last year with the same period, the forest fire rate in West Sumatra is around 167 percent https t co g4v6n2a2dk",0.103,0.897,0.0,-0.34,neg
77,heatwave triggers forest fires in portugal and spain - between news bengkulu https t co wevnktofqa,0.0,1.0,0.0,0.0,neu
78,heat wave triggers forest fires in several european countries https t co zf8qv1u0kr https t co 6pimgcdnwf,0.0,1.0,0.0,0.0,neu
79,thousand tasks madam burn on wednesday 13 7 fight against more than 20 fires that ravaged in portugal and spain west europe burnt forest fires updatebali https t co cl1ufbzueh https t co 1usro4ug9t,0.08,0.92,0.0,-0.3818,neg
80,"Burning forest and land that has been completed in several areas in Sumatra and Kalimantan, the value is still under control in the period from January 1 to July 11, 258 hotspots have been monitored in the number of areas for the humanities, adadikompas https t co 0rsitqg8od",0.0,0.922,0.078,0.4019,pos
81,"Burning forest and land that was finished in several areas in Sumatra and Kalimantan, the value was still under control in the period 1 January-11 July, 258 hotspots were observed in the number of science and technology areas, adadikompas https t co 4cyvyb5xs1",0.0,0.913,0.087,0.4019,pos
82,there needs to be education to the community around the forest to get involved in preventing forest fires https t co kuuxfrocr2,0.052,0.948,0.0,-0.0258,neg
83,"as an effort to anticipate forest fires, the forest is ready https t co giimpvku6h",0.0,0.839,0.161,0.3612,pos
84,Forest fires in Batu City are mostly triggered by human activities https t co yikjyhmo6o,0.0,1.0,0.0,0.0,neu
85,Heat waves call for temperatures to soar above 45 degrees Celsius in some parts of Europe https t co cxbvnmns9x,0.0,1.0,0.0,0.0,neu
86,heat wave triggers great forest fire in europe https t co bdbdsjsw38,0.155,0.581,0.265,0.4019,pos
87,"if you burn the forest, both small and large, the real impact is very loss for many parties, therefore maybe we should prevent it from burning, what can we do, read this post by mbk lendyreny, let's bwbplus https t co gaku1bkhll",0.058,0.856,0.086,0.0534,neu
88,"Morning buddy, there is new information, there is new information regarding hotspots on July 13, 2022, monitor 4 hotspots indicating forest and land fires in the East Nusa Tenggara region.",0.0,1.0,0.0,0.0,neu
89,heat wave reaches 45 degrees thousand madam Bakar fights over more than 20 fires that ravaged Portugal and western spain https t co jvqyyjrzv5,0.108,0.843,0.048,-0.6124,neg
90,two fires have burned almost 1 700 hectares of pine trees in gironde coilnews https t co rmkjizgfbb,0.0,1.0,0.0,0.0,neu
91,https t co exhdmyfmk9 - burn France's vast forests of thousands of residents evacuate https t co vf819jnjkb,0.0,1.0,0.0,0.0,neu
92,"hi friend, info bmkg kalbar alert potential easy to burn forest and land in the west kalimantan area on 14 to 20 july 2022 some areas of kalbar karhutla karhutlakalbar infobmkgkalbar weatherkalbar https t co qvlrr7pssn",0.0,0.794,0.206,0.8074,pos
93,burn landa forest more than 1800 hectares of land in france work still being done madam https t co btdcwna4wo,0.0,1.0,0.0,0.0,neu
94,"awesome, really hot to burn the forest mstar220714 https t co ntkned0phn",0.0,0.709,0.291,0.6249,pos
95,"ekokuntadhi, there is an earthquake, flash flood, erupting mountain forest, Mr. Eko Kunthadi, politics, Indonesian religious employees, continue to be vigilant, Jakarta, West Java, Banten, the position of the background formula e is not different, it's not important, read the meaning of eco https t co dv68krivfn",0.034,0.929,0.037,0.0279,neu
96,5 directions to build the island of Borneo 1 hold Kalimantan function like the lungs of the world 2 develop to prevent natural disasters from flooding and forest fires 3 levels of conservation and rehabilitation das suharso m Jiwamudaindo Performancesoeharsomonoarfa https t co leojwhzk6l,0.082,0.778,0.14,0.8176,pos
97,5 directions to build the island of Kalimantan 1 hold Kalimantan function like the lungs of the world 2 develop to prevent natural disasters from flooding and forest fires 3 levels of conservation and rehabilitation das suharso m Jiwamudaindo Performancesoeharsomonoarfa https t co vngmasatcz,0.082,0.778,0.14,0.8176,pos
98,"5 directions to build the island of Kalimantan 1 hold Kalimantan like the lungs of the world 2 develop to prevent natural disasters from flooding and forest fires 3 levels of conservation and rehabilitation of watersheds for critical lands, protected forest & production forest, performancesoeharsomonoarfa https t co raoame1e8g",0.114,0.713,0.173,0.9432,pos
99,"5 directions to build the island of Kalimantan - hold on to the function of Kalimantan as the lungs of the world - develop to prevent natural disasters from flooding & forest fires - level of conservation & rehabilitation of critical land watersheds, protected forest & production forest performancesoeharsomonoarfa https t co duiflt17yy",0.113,0.763,0.124,-0.7184,neg
100,Burn the forests of landa portugal and spain in the middle of a heatwave https t co gvnxrszrcd,0.0,1.0,0.0,0.0,neu
101,"Turkey's president condemns forest fires, President Recep Tayyip Erdogan is strongly criticized for being responsive and not ready for large-scale forest fires https t co bvndvzryte",0.243,0.615,0.141,-0.5122,neg
102,EU recalls forest fires EU official has resigned last week for threatening forest fires due to climate change https t co 2bbl8p2on3,0.221,0.779,0.0,-0.6597,neg
103,prime minister of portugal burns forest prime minister of portugal ant nio costa cancels trip abroad for hands there is an emergency on wednesday 13 7 2022 https t co 3zd4ttklor,0.143,0.857,0.0,-0.5423,neg
104,European Union forest fires series of charred forest fires for EU countries https t co cdv3hn7jtm,0.0,1.0,0.0,0.0,neu
105,burn forests iran https t co hcigiybz4c,0.0,1.0,0.0,0.0,neu
106,5 directions to build the island of Kalimantan 1 hold Kalimantan function like the lungs of the world 2 develop to prevent natural disasters from flooding and forest fires 3 levels of conservation and rehabilitation das suharso m Jiwamudaindo Performancesoeharsomonoarfa https t co hsnlob1ang,0.082,0.778,0.14,0.7906,pos
107,five directions to build the island of Kalimantan 1 hold Kalimantan function like the lungs of the world 2 develop to prevent natural disasters from flooding and forest fires suharso m Jiwamudaindo Performancesoeharsomonoarfa https t co 7w6tj96t0u,0.093,0.749,0.158,0.8591,pos
108,"Anticipation of forest and land fires, Deputy Governor of West Sumatra leads the task force for the West Sumatra Dalkarhutla Task Force https t co vqxahfqzqr",0.0,0.945,0.055,0.1027,pos
109,forest fires continue to hit the iberian peninsula https t co bjhpvnrelv,0.0,1.0,0.0,0.0,neu
110,large amounts of fire hit forests in central portugal and western spain https t co l2bqqzpa9n,0.146,0.854,0.0,-0.34,neg
111,484 hotspots for detection of forest and land fire alerts in West Sumatra https t co hnbaiogtf0,0.138,0.862,0.0,-0.34,neg
112,"kdrama menfess park dokyung red flag it's like a forest fire but I'm willing to burn it too, it's okay, aka those eyes, I'm sorry",0.116,0.734,0.15,0.2382,pos
113,Burning forest devoured 1 700 hectares of land in France https t co ca3l1iqndn,0.0,1.0,0.0,0.0,neu
114,"heat waves from Europe, Spain and Portugal also hit the dry season and burned forests when the hot and hot weather had spread to France and the United Kingdom https t co mdmlswkw0b https t co ri1j8tmkfk",0.0,0.924,0.076,0.9186,pos
115,forest fires in spain are difficult to extinguish n if the sultan without a palace is involved and nature is allowed in the fire madam then we will raise our hands to ask for the grace of Allah swt to protect the heavens and the earth n we ask for the forests of kalimantan sulawesi sumatra papua standby https t co tag70wmhy2,0.074,0.803,0.123,0.4939,pos
116,beautiful poppies blooming in california forest fire site https t co qfg4gk2j8d,0.157,0.588,0.255,0.3612,pos
117,"Forest fires at 167 percent rate, West Sumatra, donate two major hotspots in Indonesia https t co alwrywwnq6",0.0,1.0,0.0,0.0,neu
118,This number is a rate of 167 percent compared to the number of hotspots in 2021. https t co xrz9t3xh3t,0.0,0.86,0.14,0.1531,pos
119,spay balance 10 000 idr php rt amp open this link https t co kffztadiiy rep proof end in 5 hrs goodluck hunters,0.0,1.0,0.0,0.0,neu
120,"Sumatra sits in second position, burning land and forest reaches 9 045 https t co f3tjf8uwdh",0.0,0.915,0.085,0.0516,neu
121,and forest fires have started in several cities near lisbon and also in the algarve the air in porto is hot and the sun is closing in the smoke,0.0,1.0,0.0,0.0,neu
122,"Anticipation of forest and land fires, Deputy Governor of West Sumatra leads the task force of West Sumatra's Dalkarhutla Task Force https t co blwdz5ojgq https t co urobzxxi5h",0.0,0.949,0.051,0.1027,pos
123,strangernews11 thinks the news of Indonesia burning forests again is similar to the question min,0.0,1.0,0.0,0.0,neu
124,Thousands of tourists evacuated due to forest fires covering an area of ​​1 700 hectares in France https t co osyenxig5u,0.0,1.0,0.0,0.0,neu
125,about 600 firefighting tasks madam dua forest fire in southwestern france https t co rogjz3u2eu,0.156,0.844,0.0,-0.34,neg
126,"Anticipation of forest and land fires, Deputy Governor of West Sumatra leads the task force of West Sumatra's Dalkarhutla Task Force in Sijunjung https t co aero9lyclq",0.0,0.947,0.053,0.1027,pos
127,"Bayu Angora especially during the dry season and the forest burns, we can coordinate the time to pray for rain as well as for a witchcraft detachment, suitable to be offered to Ukraine to win the war",0.088,0.726,0.186,0.5106,pos
128,"0xwrwrwinx when the grandfather said it used to be busy often for drinking parties with babi guling but one day the hotel was burnt they couldn't get out and the car was still there the number of people died there were 100 people who only met a few people at night, the vibes were like a forest",0.078,0.817,0.105,-0.09,neg
129,"West Sumatra Provincial Government, West Sumatra Provincial Government, asks all tasks to be alert to the threat of burning hotspots in West Sumatra in January-May 2022 https t co yk9omcapqm",0.104,0.828,0.067,-0.296,neg
130,Sijunjung police chief attends standby apple for forest and land fires in 2022 in Muaro Takung https t co h99howflu3,0.0,1.0,0.0,0.0,neu
131,"Nagareksa can you do it, nanda, there is a heart that takes care of you, doesn't Mika want to become smoke between forest fires",0.048,0.826,0.126,0.4548,pos
132,"The activities that are running during the program are said to be entering the landscape of the issue of forest fires, showing off, withdrawing lucky tickets, demonstrations for composting steel and tree planting activities in conjunction with the Malaysian green program https t co hp4hcsrtnn",0.0,0.939,0.061,0.6808,pos
133,forest fires in spain are difficult to extinguish n if the sultan without the palace is involved and nature is allowed in the fire madam then we will raise our hands to ask for the grace of Allah swt to protect the heavens and the earth n we ask for the forests of kalimantan sulawesi sumatra papua standby https t co tag70wmhy2,0.073,0.806,0.121,0.7506,pos
134,burn the forest for the country so that it teaches us we must take care of the forest and remember the hornbills and the new world order is happening,0.0,0.897,0.103,0.4939,pos
135,the world is hot because of forest fires in some areas https t co ktnr5ozdo1,0.0,1.0,0.0,0.0,neu
136,"Babinsa Koramil 04 Rupat is led by Serma Sihol Sinaga and 3 MPA members like a patrol to prevent forest and land fires burning in Sri Tanjung Village, Kec Rupat, Bengkal Regency Wednesday 13 7 2022 https t co gmnvotgqjk",0.0,0.904,0.096,0.3818,pos
137,"I think the trigger for this burning is the extreme heat that reaches 40 degrees Celsius, coilnews https t co 2t6ajnw1xg",0.0,0.938,0.062,0.0516,neu
138,"mskaban3 when you were the minister of forestry, was it good for you to do zero forest fires, pointing at people's noses, it's easy to compare yourself to introspection, lacking self-esteem compared to the people you appointed incompetent, now there's no karhut like you used to have, how many land conversions are more powerful than you",0.079,0.75,0.171,0.7264,pos
139,forest burning tirantmusic,0.0,1.0,0.0,0.0,neu
140,riistrettoo forest fire,0.545,0.455,0.0,-0.34,neg
141,portugal forest fires in the middle of dry 29 injured https t co yn4sytvf1e,0.184,0.816,0.0,-0.4019,neg
142,mskaban3 pakkatdayak in the era of forest fires so be a subscriber when will your duct tape be cut off,0.104,0.896,0.0,-0.2732,neg
143,"Soes is dry, usually the sky is red and burned by the forest",0.0,1.0,0.0,0.0,neu
144,Aditya Herdian This fire emoji a lot is not a spirit but a forest fire xixi,0.377,0.623,0.0,-0.6198,neg
145,"burn landa forest, yosemite national park, california, usa, park, call it a collection of tall, large trees that are hundreds of years old https t co pqwbah8hh1",0.0,1.0,0.0,0.0,neu
146,"burn landa forest, yosemite national park, california, usa, park, call it a collection of tall, large trees that are centuries old https t co pqwbah8hh1",0.0,1.0,0.0,0.0,neu
147,"National Agency for Disaster Management (BNPB) revealed an area of ​​​​approximately 27 hectares in Rok downstream Rohil district, Riau Bakar province on Sunday 10 7 at 10 00 WIB, the forest and land fires burned at five points mgtradio mgtnews mgtplay https t co qie3zx7n2s",0.089,0.911,0.0,-0.6249,neg
148,"this week it's hot in portugal someone will touch the number 45 c in porto this morning at 11 21 am the heat is already 38 c several cities in portugal are in the red alert phase, hopefully there won't be a lot of forest fires so everyone is always healthy",0.0,0.832,0.168,0.7845,pos
149,"545 madam Bakar's task is currently fighting against fire in a proactive way to protect the forest with a collection of more than 500 sequoia trees, call coilnews https t co bkaenmowyn",0.139,0.708,0.153,0.128,pos
150,past temperatures sparked forest fires in portugal https t co jcw2tnok8q,0.0,1.0,0.0,0.0,neu
151,past temperature sparks forest fire in portugal https t co i371cbq4v8,0.211,0.789,0.0,-0.34,neg
152,as many as 125 forest fires were sold in Portugal only last Saturday https t co jydus5tk5b,0.0,1.0,0.0,0.0,neu
153,burn forest unesco site in france https t co uleitk9acv,0.0,1.0,0.0,0.0,neu
154,burn the forest sitting in five cities in spain moved to get news now on telegram https t co vkwfqjhaxz https t co snprvuyxss,0.0,1.0,0.0,0.0,neu
155,Hundred sits in 5 Spanish cities moved due to forest fires Malaysianow news flashnews Spain forest fires https t co lakqsw8uch,0.0,1.0,0.0,0.0,neu
156,"The dry season, which is a sign of minimal rainfall, the Meteorology, Climatology and Geophysics Agency (BMKG), remembers all parties to be vigilant so that the temperature level triggers the burning of forests and land and forest fires in South Sumatra https t co 1eleuwelt4",0.0,0.903,0.097,0.5267,pos
157,the authority where to ask for help from the Spanish army madam burning the forest https t co gjsd5wobus,0.0,0.8,0.2,0.4588,pos
158,US officials said that more than 35 000 forest fires were finished throughout the US this year the number of mentions was far above average,0.0,0.949,0.051,0.0772,neu
159,Yosemite's fire and flight management department said they were proactive in protecting the forest they were ready to flush systems to dampen the humidity levels around trees and lose fuel that could trigger fires from the site.,0.118,0.76,0.122,0.0516,neu
160,flash sale i like alms a set of 5 flash sale books from 178 000 to 148 750 myself from 1 beautiful smile rajwa 2 visit madam burn 3 trees dur heaven fruit 4 al-qur an braille for tum 5 lost in the forest https t co sf7dyf1bmi,0.047,0.701,0.252,0.9999,pos
161,"Burning in Yosemite National Park, California, United States, threatens the Mariposa forest, known as the international giant sequoia tree, Adadikompas https t co wjtvlhqefp",0.098,0.795,0.106,0.0516,neu
162,the task of protecting the world's largest trees from the threat of forest fires https t co cglmsunflv,0.175,0.825,0.0,-0.5267,neg
163,"emerson yuntho mskaban3 wow, the former forest trio, yes, the forest used to burn often",0.0,0.667,0.333,0.7579,pos
164,"papamysterius matanajwa don't talk about regulation, bro. He's been a minister since the time of SBY. He doesn't even know if it's the quality of the brain that has a lot of people, he won't understand first when he's criticized about forest fires, he just laughs",0.052,0.881,0.067,0.1779,pos
165,"Entering summer in the US, I try to burn the forest here instead it often rains https t co uxrfj3bhdw",0.0,1.0,0.0,0.0,neu
166,portuguese heatwave emergency 3 000 international forest fire extinguishing collar duty https t co jdoixtlxo3 https t co fyrjpxdvx5,0.263,0.737,0.0,-0.6124,neg
167,forest fire bhdunia also donates to hot heat https t co wbl1vg43e7,0.194,0.806,0.0,-0.34,neg
168,"adi blinx yudha4efah simbokesarah uki23 jokowi already brother, there are many delicious kufr people in this country, I remember when I was still going back and forth in Timika before Jokowi's era, flights were often delayed and canceled because of the haze caused by forest fires, now there's no more of that",0.075,0.858,0.068,0.1531,pos
169,"This gentleman is not the one who asked Harrison Ford about forest fires, instead the answer is democracy https t co oonrct98zh",0.0,1.0,0.0,0.0,neu
170,"please accept this, oh my god, I'm tired, pity burning the forest",0.267,0.366,0.366,0.2263,pos
171,"Europe becomes hell, rivers burn, forests run amok https t co t2nqadbv38",0.315,0.685,0.0,-0.6808,neg
172,emerson yuntho mskaban3 is suitable to be the minister of forest fires or the minister of smoke export,0.0,1.0,0.0,0.0,neu
173,burn sumeru forest https t co uxfddp16jc,0.0,1.0,0.0,0.0,neu
174,thousand of the tasks of madam collar over forest fire in portugal https t co xlkebecjb5,0.146,0.854,0.0,-0.34,neg
175,thousand tasks for madam collar over forest fire in portugal https t co wn1aqrbkuw,0.167,0.833,0.0,-0.34,neg
